EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.002562,22.59,116.0,0.468771,0.001281,22.39,85.0,0.390643,0.002562,22.21,91.0,0.453146
0.017935,22.59,98.67,0.500023,0.017935,22.39,93.33,0.312514,0.017935,22.21,103.0,0.500023
0.017935,22.59,95.25,0.390643,0.019217,22.39,85.0,0.375017,0.017935,22.21,119.75,0.500023
0.017935,22.59,90.2,0.453146,0.017935,22.39,92.6,0.32814,0.017935,22.21,120.6,0.359391
0.019217,22.59,93.33,0.406269,0.017935,22.39,104.83,0.421894,0.020498,22.21,120.67,0.406269
0.019217,22.59,95.14,0.468771,0.020498,22.39,113.57,0.453146,0.020498,22.21,120.86,0.375017
0.019217,22.59,96.38,0.375017,0.019217,22.39,120.75,0.375017,0.019217,22.21,121.0,0.390643
0.019217,22.59,97.33,0.453146,0.017935,22.41,126.0,0.531274,0.019217,22.25,121.0,0.421894
0.017935,22.59,97.0,0.406269,0.017935,22.41,130.3,0.5469,0.017935,22.25,121.1,0.343766
0.016654,22.59,96.73,0.453146,0.016654,22.41,133.64,0.453146,0.015373,22.25,121.27,0.375017
0.014092,22.59,96.42,0.43752,0.015373,22.41,136.33,0.515649,0.015373,22.25,121.5,0.359391
0.014092,22.61,96.23,0.515649,0.012811,22.41,138.54,0.484397,0.014092,22.21,121.77,0.359391
0.012811,22.61,96.07,0.406269,0.01153,22.41,140.43,0.343766,0.014092,22.21,122.07,0.5469
0.01153,22.61,95.87,0.453146,0.01153,22.41,141.93,0.468771,0.014092,22.21,122.4,0.484397
0.010249,22.61,95.81,0.453146,0.01153,22.41,143.19,0.375017,0.012811,22.21,122.81,0.515649
0.01153,22.59,96.12,0.515649,0.010249,22.41,144.41,0.531274,0.012811,22.19,123.29,0.515649
0.01153,22.59,96.28,0.453146,0.010249,22.41,145.5,0.484397,0.010249,22.19,123.78,0.500023
0.010249,22.59,96.42,0.468771,0.010249,22.41,146.26,0.500023,0.010249,22.19,124.21,0.484397
0.010249,22.59,96.45,0.390643,0.008968,22.41,146.95,0.5469,0.008968,22.19,124.55,0.500023
0.008968,22.59,96.52,0.468771,0.006406,22.41,147.52,0.468771,0.010249,21.99,124.76,0.484397
0.006406,22.59,96.36,0.515649,0.006406,22.41,148.09,0.609403,0.008968,21.99,124.91,0.468771
0.006406,22.59,96.09,0.531274,0.006406,22.41,148.7,0.593777,0.008968,21.99,124.91,0.468771
0.006406,22.59,95.83,0.390643,0.005124,22.41,149.21,0.500023,0.008968,21.99,124.96,0.484397
0.005124,22.57,95.56,0.468771,0.005124,22.39,149.72,0.5469,0.008968,21.99,124.96,0.468771
0.007687,22.57,95.35,0.421894,0.006406,22.39,150.5,0.5469,0.007687,21.99,124.96,0.484397
0.006406,22.57,95.19,0.500023,0.005124,22.39,151.26,0.390643,0.006406,21.99,124.96,0.500023
0.006406,22.57,95.0,0.453146,0.005124,22.39,152.39,0.484397,0.005124,21.99,125.04,0.468771
0.006406,22.59,94.86,0.468771,0.006406,22.39,153.55,0.625029,0.005124,22.01,125.07,0.468771
0.005124,22.59,94.8,0.453146,0.005124,22.39,154.63,0.468771,0.006406,22.01,125.0,0.484397
0.003843,22.59,94.81,0.500023,0.002562,22.39,155.65,0.468771,0.005124,22.01,124.94,0.500023
0.003843,22.59,94.75,0.468771,0.002562,22.39,156.56,0.343766,0.006406,22.01,124.97,0.468771
0.003843,22.55,94.7,0.468771,0.002562,22.41,157.52,0.421894,0.006406,22.01,124.88,0.468771
0.002562,22.55,94.65,0.468771,0.002562,22.41,158.38,0.390643,0.005124,22.01,124.91,0.468771
0.002562,22.55,94.63,0.484397,0.002562,22.41,159.37,0.406269,0.005124,22.01,124.74,0.468771
0.003843,22.55,94.61,0.484397,0.003843,22.41,160.28,0.515649,0.003843,22.01,124.56,0.500023
0.003843,22.55,94.7,0.453146,0.003843,22.41,161.11,0.390643,0.003843,22.01,123.78,0.484397
0.003843,22.55,94.87,0.484397,0.002562,22.41,161.84,0.375017,0.003843,22.01,122.95,0.468771
0.003843,22.55,95.0,0.468771,0.002562,22.41,162.56,0.468771,0.005124,22.01,122.18,0.500023
0.005124,22.55,95.07,0.468771,0.003843,22.41,163.18,0.531274,0.005124,22.01,121.38,0.500023
0.003843,22.55,95.1,0.515649,0.001281,22.41,163.85,0.390643,0.005124,22.11,120.61,0.500023
0.002562,22.55,95.1,0.43752,0.001281,22.41,164.52,0.484397,0.002562,22.11,119.83,0.484397
0.002562,22.55,95.07,0.484397,0.001281,22.41,165.21,0.500023,0.003843,22.11,118.88,0.484397
0.002562,22.55,95.0,0.734409,0.001281,22.41,165.55,0.484397,0.002562,22.11,117.93,0.468771
0.002562,22.57,94.91,0.43752,0.001281,22.39,165.82,0.43752,0.002562,22.21,117.04,0.484397
0.002562,22.57,94.85,0.453146,0.002562,22.39,165.91,0.359391,0.001281,22.21,116.3,0.500023
0.003843,22.57,94.87,0.406269,0.002562,22.39,166.04,0.468771,0.002562,22.21,115.6,0.468771
0.003843,22.57,94.9,0.468771,0.002562,22.39,166.17,0.43752,0.003843,22.21,114.92,0.500023
0.003843,22.55,94.92,0.421894,0.002562,22.39,166.29,0.562526,0.002562,22.25,114.27,0.578151
0.003843,22.55,94.92,0.453146,0.002562,22.39,166.36,0.359391,0.003843,22.25,113.66,0.484397
0.003843,22.55,95.08,0.43752,0.002562,22.39,166.43,0.343766,0.003843,22.25,113.16,0.468771
0.002562,22.55,95.27,0.468771,0.0,22.39,166.5,0.43752,0.002562,22.25,112.85,0.562526
0.002562,23.31,95.43,0.453146,0.001281,22.39,166.58,0.406269,0.001281,22.23,112.55,0.421894
0.001281,23.31,95.61,0.468771,0.0,22.39,166.63,0.343766,0.001281,22.23,112.24,0.5469
0.001281,23.31,95.78,0.43752,0.0,22.39,166.71,0.453146,0.001281,22.23,111.98,0.468771
0.001281,23.31,95.95,0.468771,0.001281,22.39,166.79,0.375017,0.001281,22.23,111.66,0.500023
0.001281,23.73,96.12,0.421894,0.001281,22.39,166.88,0.562526,0.002562,22.23,111.39,0.468771
0.003843,23.73,96.19,0.468771,0.001281,22.39,166.97,0.390643,0.002562,22.23,111.07,0.484397
0.003843,23.73,96.24,0.421894,0.001281,22.39,166.88,0.500023,0.003843,22.23,110.76,0.500023
0.003843,23.73,96.27,0.453146,0.001281,22.39,166.83,0.484397,0.002562,22.23,110.5,0.484397
0.003843,23.11,95.85,0.421894,0.001281,22.39,167.75,0.65628,0.001281,22.25,110.18,0.500023
0.003843,23.11,95.6,0.468771,0.0,22.39,169.5,0.609403,0.003843,22.25,110.67,0.531274
0.003843,23.11,96.07,0.43752,0.0,22.39,170.4,0.578151,0.0,22.25,110.17,0.500023
0.002562,23.11,96.22,0.468771,0.0,22.39,172.12,0.453146,0.0,22.25,109.02,0.531274
0.002562,23.11,96.6,0.453146,0.0,22.41,172.75,0.750034,0.0,22.25,108.63,0.500023
0.002562,23.11,96.32,0.453146,0.0,22.41,172.65,0.843789,0.001281,22.25,108.28,0.500023
0.001281,23.11,96.1,0.453146,0.001281,22.41,172.7,0.937543,0.001281,22.25,107.92,0.500023
0.002562,23.11,95.87,0.453146,0.001281,22.41,172.67,0.87504,0.001281,22.25,107.58,0.375017
0.002562,23.17,95.62,0.43752,0.001281,22.41,172.65,0.359391,0.001281,22.17,107.25,0.453146
0.005124,23.17,95.55,0.468771,0.002562,22.41,172.6,0.421894,0.002562,22.17,106.92,0.468771
0.003843,23.17,95.53,0.43752,0.0,22.41,172.35,0.843789,0.0,22.17,106.58,0.484397
0.003843,23.17,95.27,0.468771,0.0,22.41,172.15,0.796911,0.0,22.17,106.23,0.484397
0.003843,23.15,95.0,0.453146,0.0,22.41,171.98,0.781286,0.001281,22.29,105.83,0.343766
0.001281,23.15,94.72,0.484397,0.0,22.41,171.78,0.500023,0.0,22.29,105.55,0.515649
0.002562,23.15,94.55,0.43752,0.0,22.41,171.72,0.375017,0.001281,22.29,105.28,0.500023
0.001281,23.15,94.37,0.484397,0.0,22.41,171.65,0.343766,0.001281,22.29,104.9,0.500023
0.001281,23.17,94.27,0.453146,0.0,22.41,171.57,0.500023,0.001281,22.37,105.08,0.43752
0.002562,23.17,93.82,0.468771,0.001281,22.41,171.48,0.640654,0.002562,22.37,105.23,0.500023
0.002562,23.17,93.37,0.453146,0.001281,22.41,171.47,0.421894,0.001281,22.37,105.38,0.484397
0.003843,23.17,92.9,0.484397,0.001281,22.41,171.42,0.468771,0.001281,22.37,106.0,0.500023
0.002562,23.09,92.42,0.453146,0.0,22.41,171.4,0.484397,0.0,22.39,106.85,0.500023
0.002562,23.09,92.0,0.500023,0.001281,22.41,171.42,0.859414,0.0,22.39,107.72,0.375017
0.001281,23.09,91.63,0.484397,0.0,22.41,171.37,0.890666,0.0,22.39,108.67,0.468771
0.001281,23.09,91.27,0.500023,0.0,22.41,171.33,1.53132,0.0,22.39,109.6,0.468771
0.001281,23.09,90.9,0.453146,0.0,22.41,171.27,0.531274,0.0,22.39,110.55,0.87504
0.001281,23.09,90.58,0.484397,0.001281,22.41,171.05,0.390643,0.0,22.39,111.47,0.812537
0.001281,23.09,90.23,0.468771,0.0,22.41,170.82,0.343766,0.001281,22.39,112.5,0.703157
0.001281,23.09,89.88,0.484397,0.001281,22.41,170.22,0.32814,0.0,22.39,113.6,0.703157
0.001281,23.07,89.47,0.468771,0.001281,22.37,169.62,0.406269,0.0,22.39,114.72,0.750034
0.002562,23.07,88.98,0.484397,0.001281,22.37,169.0,0.32814,0.0,22.39,115.87,0.781286
0.002562,23.07,88.48,0.484397,0.0,22.37,168.4,0.515649,0.0,22.39,117.02,0.687531
0.002562,23.07,88.02,0.484397,0.001281,22.37,167.82,0.421894,0.001281,22.39,118.12,0.65628
0.002562,23.11,87.53,0.500023,0.001281,22.39,167.15,0.468771,0.0,22.39,119.33,0.781286
0.002562,23.11,87.05,0.593777,0.0,22.39,166.5,0.500023,0.0,22.39,120.52,0.671906
0.001281,23.11,86.68,0.515649,0.0,22.39,165.88,0.43752,0.001281,22.39,121.82,0.734409
0.001281,23.11,86.25,0.531274,0.0,22.39,165.33,0.390643,0.001281,22.39,123.1,0.687531
0.002562,23.07,85.75,0.5469,0.0,22.41,164.8,0.468771,0.0,22.41,124.75,0.687531
0.001281,23.07,85.2,0.531274,0.0,22.41,164.28,0.359391,0.0,22.41,126.47,0.76566
0.001281,23.07,84.65,0.484397,0.002562,22.41,163.75,0.312514,0.0,22.41,128.18,0.890666
0.002562,23.07,84.12,0.468771,0.0,22.41,163.25,0.468771,0.0,22.41,129.77,0.890666
0.002562,23.05,83.63,0.593777,0.0,22.39,162.72,0.390643,0.0,22.41,131.37,0.937543
0.001281,23.05,83.25,0.468771,0.0,22.39,162.17,0.312514,0.001281,22.41,132.78,0.921917
0.003843,23.05,82.87,0.484397,0.0,22.39,161.57,0.359391,0.001281,22.41,134.35,0.703157
0.002562,23.05,82.58,0.5469,0.0,22.39,161.03,0.359391,0.001281,22.41,136.0,0.76566
0.005124,23.05,82.32,0.453146,0.0,22.39,160.5,0.531274,0.001281,22.41,137.7,0.750034
0.001281,23.05,82.15,0.500023,0.0,22.39,160.12,0.43752,0.0,22.41,139.35,0.890666
0.001281,23.05,81.88,0.468771,0.0,22.39,159.67,0.484397,0.0,22.41,141.0,0.671906
0.001281,23.05,81.65,0.578151,0.0,22.39,159.18,0.625029,0.0,22.41,142.65,0.796911
0.001281,23.03,81.5,0.453146,0.0,22.41,158.68,0.703157,0.001281,22.29,144.32,0.921917
0.001281,23.03,81.37,0.453146,0.0,22.41,158.22,0.359391,0.0,22.29,146.03,0.734409
0.002562,23.03,81.1,0.500023,0.0,22.41,157.75,0.390643,0.0,22.29,147.68,0.828163
0.002562,23.03,80.8,0.468771,0.0,22.41,157.27,0.609403,0.0,22.29,149.22,0.796911
0.002562,23.03,80.5,0.468771,0.0,22.43,156.77,0.359391,0.002562,22.25,150.77,0.625029
0.003843,23.03,80.15,0.500023,0.001281,22.43,156.27,1.390689,0.002562,22.25,152.33,0.812537
0.002562,23.03,80.03,0.43752,0.001281,22.43,155.73,0.359391,0.0,22.25,153.72,0.734409
